id,properties,parameters,base,baseValue,real,estimate,normalize
10,Stiffness,VibrationDuration,300,10,180,5.5,0.6197183098591549
10,Stiffness,VibrationDuration,300,10,240,8.5,0.9577464788732394
10,Stiffness,VibrationDuration,300,10,300,10.5,1.1830985915492958
10,Stiffness,VibrationDuration,300,10,360,11.0,1.2394366197183098
10,Stiffness,VibrationIntensity,1.2,10,0.6,6.0,0.5783132530120482
10,Stiffness,VibrationIntensity,1.2,10,0.9,9.0,0.8674698795180723
10,Stiffness,VibrationIntensity,1.2,10,1.2,11.5,1.108433734939759
10,Stiffness,VibrationIntensity,1.2,10,1.5,15.0,1.4457831325301205
10,Stiffness,VibrationPattern,100,10,200,5.5,0.5569620253164557
10,Stiffness,VibrationPattern,100,10,100,11.0,1.1139240506329113
10,Stiffness,VibrationPattern,100,10,150,11.0,1.1139240506329113
10,Stiffness,VibrationPattern,100,10,50,12.0,1.2151898734177216
10,Speed,VibrationDuration,300,10,180,5.0,0.5405405405405406
10,Speed,VibrationDuration,300,10,240,8.5,0.918918918918919
10,Speed,VibrationDuration,300,10,300,11.0,1.1891891891891893
10,Speed,VibrationDuration,300,10,360,12.5,1.3513513513513513
10,Speed,VibrationIntensity,1.2,10,0.6,6.0,0.5925925925925926
10,Speed,VibrationIntensity,1.2,10,0.9,9.5,0.9382716049382716
10,Speed,VibrationIntensity,1.2,10,1.2,10.0,0.9876543209876543
10,Speed,VibrationIntensity,1.2,10,1.5,15.0,1.4814814814814814
10,Speed,VibrationPattern,100,10,200,10.0,0.8602150537634409
10,Speed,VibrationPattern,100,10,100,14.0,1.2043010752688172
10,Speed,VibrationPattern,100,10,150,10.0,0.8602150537634409
10,Speed,VibrationPattern,100,10,50,12.5,1.075268817204301
10,Weight,VibrationDuration,300,10,180,5.5,0.5714285714285714
10,Weight,VibrationDuration,300,10,240,7.5,0.7792207792207793
10,Weight,VibrationDuration,300,10,300,11.5,1.1948051948051948
10,Weight,VibrationDuration,300,10,360,14.0,1.4545454545454546
10,Weight,VibrationIntensity,1.2,10,0.6,7.0,0.6588235294117647
10,Weight,VibrationIntensity,1.2,10,0.9,9.5,0.8941176470588236
10,Weight,VibrationIntensity,1.2,10,1.2,12.0,1.1294117647058823
10,Weight,VibrationIntensity,1.2,10,1.5,14.0,1.3176470588235294
10,Weight,VibrationPattern,100,10,200,6.5,0.6666666666666666
10,Weight,VibrationPattern,100,10,100,11.5,1.1794871794871795
10,Weight,VibrationPattern,100,10,150,11.5,1.1794871794871795
10,Weight,VibrationPattern,100,10,50,9.5,0.9743589743589743
11,Magnitude,VibrationDuration,300,1,180,0.7,0.7671232876712328
11,Magnitude,VibrationDuration,300,1,240,0.8,0.8767123287671234
11,Magnitude,VibrationDuration,300,1,300,1.0,1.095890410958904
