time,speed_sensor,flex_sensor,action_time,record_time
0.014692,0.422379,11421.63,None,
0.0297833,0.422379,11421.63,None,
0.0432033,0.422379,11421.63,None,
0.0565804,0.422379,11421.63,None,
0.070628,0.422379,11421.63,None,
0.0842956,0.397881,11350.73,None,
0.097405,0.397881,11350.73,None,
0.111249,0.397881,11350.73,None,
0.1261433,0.397881,11350.73,None,
0.1441142,0.397881,11350.73,None,
0.1543331,0.397881,11350.73,None,
0.1673705,0.397881,11350.73,None,
0.1814378,0.397881,11778.73,None,
0.1959147,0.397881,11778.73,None,
0.2081259,0.397881,11778.73,None,
0.2221143,0.397881,11778.73,None,
0.2363734,0.397881,11778.73,None,
0.2492996,0.397881,11778.73,None,
0.2638225,0.397881,11778.73,None,
0.2781138,0.397881,11778.73,None,
0.296141,0.351629,11778.73,None,
0.3053588,0.351629,11778.73,None,
0.3196273,0.351629,11778.73,None,
0.332901,0.351629,11778.73,None,
0.346046,0.351629,11778.73,None,
0.3621716,0.351629,11778.73,None,
0.3745421,0.351629,11778.73,None,
0.3885571,0.329845,11492.7,None,
0.4027289,0.329845,11492.7,None,
0.4164346,0.329845,11492.7,None,
0.4295107,0.329845,11492.7,None,
0.4505734,0.329845,11492.7,None,
0.4593058,0.329845,11492.7,None,
0.4713417,0.329845,11492.7,None,
0.4856554,0.329845,11492.7,None,
0.499676,0.288885,11635.37,None,
0.5128931,0.288885,11635.37,None,
0.5273595,0.288885,11635.37,None,
0.5418082,0.288885,11635.37,None,
0.5550935,0.288885,11635.37,None,
0.5703986,0.288885,11635.37,None,
0.5832626,0.288885,11635.37,None,
0.6016598,0.269679,11492.7,None,
0.6106179,0.269679,11492.7,None,
0.6240212,0.269679,11492.7,None,
0.6381664,0.269679,11492.7,None,
0.6525204,0.269679,11492.7,None,
0.6667135,0.269679,11492.7,None,
0.6876894,0.269679,11492.7,None,
0.6959641,0.269679,11492.7,None,
0.7097728,0.269679,11492.7,None,
0.7230006,0.269679,11492.7,None,
0.7370173,0.269679,11492.7,None,
0.7555003,0.269679,11492.7,None,
0.7661315,0.269679,11492.7,None,
0.7782047,0.269679,11492.7,None,
0.791877,0.269679,11492.7,None,
0.8057508,0.233738,11280,None,
0.8195934,0.233738,11280,None,
0.8336387,0.233738,11280,None,
0.8465627,0.233738,11280,None,
0.8607951,0.233738,11280,None,
0.8745972,0.233738,11280,None,
0.8879832,0.233738,11280,None,
0.9081685,0.225332,11563.95,None,
0.9166175,0.225332,11563.95,None,
0.9298036,0.225332,11563.95,None,
0.9440469,0.225332,11563.95,None,
0.9580084,0.225332,11563.95,None,
0.973077,0.225332,11563.95,None,
0.9855429,0.225332,11563.95,None,
0.9996862,0.208956,11563.95,None,
1.013376,0.208956,11563.95,None,
1.027512,0.208956,11563.95,None,
1.042411,0.208956,11563.95,None,
1.064304,0.208956,11563.95,None,
1.082423,0.208956,11563.95,None,
1.096325,0.208956,11563.95,None,
1.110663,0.193355,11421.63,None,
1.12416,0.193355,11421.63,None,
1.138094,0.193355,11421.63,None,
1.152282,0.193355,11421.63,None,
1.166355,0.193355,11421.63,None,
1.18127,0.193355,11421.63,None,
1.193867,0.193355,11421.63,None,
1.212219,0.178512,11492.7,None,
1.221309,0.178512,11492.7,None,
1.235656,0.178512,11492.7,None,
1.24908,0.178512,11492.7,None,
1.262805,0.178512,11492.7,None,
1.277416,0.178512,11492.7,None,
1.290777,0.178512,11492.7,None,
1.30577,0.178512,11492.7,None,
1.319518,0.17145,11492.7,None,
1.33288,0.17145,11492.7,None,
1.345935,0.17145,11492.7,None,
1.367946,0.17145,11492.7,None,Yes
1.377841,0.17145,11492.7,None,
1.387272,0.17145,11492.7,None,
1.402163,0.17145,11492.7,None,
1.415201,0.178695,11350.73,None,
1.428468,0.178695,11350.73,None,
1.443014,0.178695,11350.73,None,
1.456989,0.178695,11350.73,None,
1.471457,0.178695,11350.73,None,
1.485177,0.178695,11350.73,None,
1.498882,0.178695,11350.73,None,
1.517779,0.17145,11563.95,None,
1.52671,0.17145,11563.95,None,
1.540216,0.17145,11563.95,None,
1.553845,0.17145,11563.95,None,
1.568578,0.17145,11563.95,None,
1.584435,0.17145,11563.95,None,
1.595983,0.17145,11563.95,None,
1.609815,0.17145,11563.95,None,
1.623735,0.201149,11850.67,Inhale,
1.638423,0.201149,11850.67,None,
1.652114,0.201149,11850.67,None,
1.672353,0.201149,11850.67,None,
1.681846,0.201149,11850.67,None,
1.693128,0.201149,11850.67,None,
1.706099,0.201149,11850.67,None,
1.720579,0.201149,11778.73,None,
1.734739,0.201149,11778.73,None,
1.748259,0.201149,11778.73,None,
1.762339,0.201149,11778.73,None,
1.776749,0.201149,11778.73,None,
1.790955,0.201149,11778.73,None,
1.803906,0.201149,11778.73,None,
1.823639,0.201149,11778.73,None,
1.831987,0.185924,11995.09,None,
1.845355,0.185924,11995.09,None,
1.859812,0.185924,11995.09,None,
1.873452,0.185924,11995.09,None,
1.887232,0.185924,11995.09,None,
1.902032,0.185924,11995.09,None,
1.915267,0.185924,11995.09,None,
1.928787,0.185924,11995.09,None,
1.943274,0.185924,11995.09,None,
1.95679,0.185924,11995.09,None,
1.975629,0.185924,11995.09,None,
1.985258,0.185924,11995.09,None,
2.000763,0.185924,11995.09,None,
2.012458,0.185924,11995.09,None,
2.027057,0.17145,12067.57,None,
2.040544,0.17145,12067.57,None,
2.053966,0.17145,12067.57,None,
2.068468,0.17145,12067.57,None,
2.08191,0.17145,12067.57,None,
2.096159,0.17145,12067.57,None,
2.109791,0.17145,12067.57,None,
2.128481,0.17145,12067.57,None,
2.137709,0.17145,11995.09,None,
2.151706,0.17145,11995.09,None,
2.165533,0.17145,11995.09,None,
2.178919,0.17145,11995.09,None,
2.192863,0.17145,11995.09,None,
2.208526,0.17145,11995.09,None,
2.221029,0.17145,11995.09,None,
2.235315,0.17145,12213.05,None,
2.248639,0.17145,12213.05,None,
2.262933,0.17145,12213.05,None,
2.283432,0.17145,12213.05,None,
2.291907,0.17145,12213.05,None,
2.304117,0.17145,12213.05,None,
2.318161,0.17145,12213.05,None,
2.331901,0.17145,12213.05,None,
2.345619,0.157711,11995.09,None,
2.360436,0.157711,11995.09,None,
2.374189,0.157711,11995.09,None,
2.387382,0.157711,11995.09,None,
2.40219,0.157711,11995.09,None,
2.41719,0.157711,11995.09,None,
2.435923,0.157711,11995.09,None,
2.445382,0.151202,12213.05,None,
2.456438,0.151202,12213.05,None,
2.469931,0.151202,12213.05,None,
2.486042,0.151202,12213.05,None,
2.498209,0.151202,12213.05,None,
2.51221,0.151202,12213.05,None,
2.526506,0.151202,12213.05,None,
2.540083,0.151202,12213.05,None,
2.553773,0.151202,12213.05,None,
2.567925,0.151202,12213.05,None,
2.587179,0.151202,12213.05,None,
2.595375,0.151202,12213.05,None,
2.609248,0.151202,12213.05,None,
2.624506,0.151202,12213.05,None,
2.637228,0.151202,12213.05,None,
2.651234,0.151202,12213.05,None,
2.665166,0.151202,12213.05,None,
2.678959,0.151202,12213.05,None,
2.692621,0.151202,12213.05,None,
2.706234,0.151202,12213.05,None,
2.720624,0.151202,12213.05,None,
2.739627,0.151202,12213.05,None,
2.748169,0.13853,12359.26,None,
2.762353,0.13853,12359.26,None,
2.776562,0.13853,12359.26,None,
2.789551,0.13853,12359.26,None,
2.804429,0.13853,12359.26,None,
2.817937,0.13853,12359.26,None,
2.833109,0.13853,12359.26,None,
2.845246,0.13853,12359.26,None,
2.859523,0.132552,12286.07,None,
2.874067,0.132552,12286.07,None,
2.892007,0.132552,12286.07,None,
2.901718,0.132552,12286.07,None,
2.914784,0.132552,12286.07,None,
2.92878,0.132552,12286.07,None,
2.943433,0.132552,12286.07,None,
2.956504,0.126551,12286.07,None,
2.970104,0.126551,12286.07,None,
2.984668,0.126551,12286.07,None,
2.998228,0.126551,12286.07,None,
3.011834,0.126551,12286.07,None,
3.026972,0.126551,12286.07,None,
3.046051,0.126551,12286.07,None,
3.054049,0.115251,12359.26,None,
3.068253,0.115251,12359.26,None,
3.081827,0.115251,12359.26,None,
3.095335,0.115251,12359.26,None,
3.109286,0.115251,12359.26,None,
3.122751,0.115251,12359.26,None,
3.137447,0.115251,12359.26,None,
3.151042,0.115251,12359.26,None,
3.164831,0.115251,12140.22,None,
3.178638,0.115251,12140.22,None,
3.197856,0.115251,12140.22,None,
3.206067,0.115251,12140.22,None,
3.220199,0.115251,12140.22,None,
3.234781,0.115251,12140.22,None,
3.249278,0.115251,12140.22,None,
3.261882,0.104611,12359.26,None,
3.276834,0.104611,12359.26,None,
3.291532,0.104611,12359.26,None,
3.30531,0.104611,12359.26,None,
3.318798,0.104611,12359.26,None,
3.330461,0.104611,12359.26,None,
3.35055,0.104611,12359.26,None,
3.359232,0.104611,12359.26,None,
3.372519,0.109935,12506.19,None,
3.38674,0.109935,12506.19,None,
3.401393,0.109935,12506.19,None,
3.414563,0.109935,12506.19,None,
3.428547,0.109935,12506.19,None,
3.44313,0.109935,12506.19,None,
3.45748,0.109935,12506.19,None,
3.470351,0.104611,12286.07,None,
3.484946,0.104611,12286.07,None,
3.503034,0.104611,12286.07,None,
3.511939,0.104611,12286.07,None,
3.526471,0.104611,12286.07,None,
3.546729,0.104611,12286.07,None,
3.555064,0.104611,12286.07,None,
3.567137,0.094615,12140.22,None,
3.581134,0.094615,12140.22,None,
3.594814,0.094615,12140.22,None,
3.608513,0.094615,12140.22,None,
3.622343,0.094615,12140.22,None,
3.637093,0.094615,12140.22,None,
3.657309,0.094615,12140.22,None,
3.668353,0.094615,12140.22,None,
3.678184,0.094615,12286.07,None,
3.691208,0.094615,12286.07,None,
3.704977,0.094615,12286.07,None,
3.719629,0.094615,12286.07,None,
3.733589,0.094615,12286.07,None,
3.746483,0.094615,12286.07,None,
3.761609,0.094615,12286.07,None,
3.775757,0.094615,12286.07,None,
3.788808,0.094615,12286.07,None,
3.809319,0.094615,12286.07,None,
3.817884,0.094615,12286.07,None,
3.83042,0.094615,12286.07,None,
3.84459,0.094615,12286.07,None,
3.85891,0.094615,12286.07,None,
3.873917,0.094615,12286.07,None,
3.886619,0.217386,12286.07,None,
3.900668,0.217386,12286.07,None,
3.914012,0.217386,12286.07,None,
3.928167,0.217386,12286.07,None,
3.942642,0.217386,12286.07,None,
3.962119,0.217386,12286.07,None,
3.970892,0.217386,12286.07,None,
3.984489,0.637451,12067.57,None,
3.997052,0.637451,12067.57,None,
4.01122,0.637451,12067.57,None,
4.025739,0.637451,12067.57,None,
4.039026,0.637451,12067.57,None,
4.053117,0.637451,12067.57,None,
4.068071,0.637451,12067.57,None,
4.086516,1.626086,12067.57,None,
4.095016,1.626086,12067.57,None,Yes
4.113797,1.626086,12067.57,None,
4.122023,1.626086,12067.57,None,
4.136471,1.626086,12067.57,None,
4.149977,1.626086,12067.57,None,
4.164011,1.626086,12067.57,None,
4.177892,1.626086,12067.57,None,
4.191749,5.546905,11492.7,Exhale1,
4.206555,5.546905,11492.7,None,
4.219784,5.546905,11492.7,None,
4.234525,5.546905,11492.7,None,
4.247099,5.546905,11492.7,None,
4.268147,5.546905,11492.7,None,
4.278802,5.546905,11492.7,None,
4.288059,6.556488,11492.7,None,
4.302606,6.556488,11492.7,None,
4.317459,6.556488,11492.7,None,
4.330499,6.556488,11492.7,None,
4.344671,6.556488,11492.7,None,
4.358365,6.556488,11492.7,None,
4.371412,6.556488,11492.7,None,
4.386318,4.148198,11563.95,None,
4.400392,4.148198,11563.95,None,
4.419468,4.148198,11563.95,None,
4.427664,4.148198,11563.95,None,
4.441648,4.148198,11563.95,None,
4.454878,4.148198,11563.95,None,
4.469469,4.148198,11563.95,None,
4.486313,4.148198,11563.95,None,
4.497252,2.505785,11778.73,None,
4.511442,2.505785,11778.73,None,
4.526106,2.505785,11778.73,None,
4.539043,2.505785,11778.73,None,
4.552736,2.505785,11778.73,None,
4.572341,2.505785,11778.73,None,
4.581617,2.505785,11778.73,None,
4.594927,2.174352,11922.79,None,
4.608172,2.174352,11922.79,None,
4.622572,2.174352,11922.79,None,
4.636607,2.174352,11922.79,None,
4.650051,2.174352,11922.79,None,
4.663737,2.174352,11922.79,None,
4.67801,2.174352,11922.79,None,
4.693239,2.174352,11922.79,None,
4.705554,1.746008,12140.22,None,
4.724949,1.746008,12140.22,None,
4.733871,1.746008,12140.22,None,
4.746772,1.746008,12140.22,None,
4.761366,1.746008,12140.22,None,
4.77542,1.746008,12140.22,None,
4.788289,1.746008,12140.22,None,
4.802965,1.511514,12359.26,None,
4.817,1.511514,12359.26,None,
4.83049,1.511514,12359.26,None,
4.844936,1.511514,12359.26,None,
4.858906,1.511514,12359.26,None,
4.877035,1.511514,12359.26,None,
4.886449,1.511514,12359.26,None,
4.902385,1.247822,12579.93,None,
4.914191,1.247822,12579.93,None,
4.927769,1.247822,12579.93,None,
4.942112,1.247822,12579.93,None,
4.955392,1.247822,12579.93,None,
4.969646,1.247822,12579.93,None,
4.983998,1.247822,12579.93,None,
4.998071,1.247822,12579.93,None,
5.011607,1.128032,12359.26,None,
5.03086,1.128032,12359.26,None,
5.038963,1.128032,12359.26,None,
5.052701,1.128032,12359.26,None,
5.067097,1.128032,12359.26,None,
5.08088,1.128032,12359.26,None,
5.094566,1.128032,12359.26,None,
5.110083,1.015846,12506.19,None,
5.122093,1.015846,12506.19,None,
5.136673,1.015846,12506.19,None,
5.150293,1.015846,12506.19,None,
5.164308,1.015846,12506.19,None,
5.183299,1.015846,12506.19,None,
5.191903,1.015846,12506.19,None,
5.205199,1.015846,12506.19,None,
5.220658,0.910433,12359.26,None,
5.233986,0.910433,12359.26,None,
5.249815,0.910433,12359.26,None,
5.2616,0.910433,12359.26,None,
5.275708,0.910433,12359.26,None,Yes
5.288133,0.910433,12359.26,None,
5.302907,0.910433,12359.26,None,
5.318234,3.786971,11995.09,None,
5.335268,3.786971,11995.09,None,
5.344702,3.786971,11995.09,None,
5.358371,3.786971,11995.09,None,
5.371618,3.786971,11995.09,None,
5.386448,3.786971,11995.09,None,
5.400939,3.786971,11995.09,None,
5.413904,6.916409,11563.95,Exhale2,
5.428189,6.916409,11563.95,None,
5.442008,6.916409,11563.95,None,
5.455082,6.916409,11563.95,None,
5.469604,6.916409,11563.95,None,
5.491768,6.916409,11563.95,None,
5.512765,6.916409,11563.95,None,
5.527616,5.740653,11850.67,None,
5.538537,5.740653,11850.67,None,
5.55245,5.740653,11850.67,None,
5.566248,5.740653,11850.67,None,
5.580558,5.740653,11850.67,None,
5.594042,5.740653,11850.67,None,
5.607832,5.740653,11850.67,None,
5.621898,4.308739,11778.73,None,
5.641202,4.308739,11778.73,None,
5.650259,4.308739,11778.73,None,
5.663755,4.308739,11778.73,None,
5.677872,4.308739,11778.73,None,
5.691556,4.308739,11778.73,None,
5.705023,4.308739,11778.73,None,
5.719569,4.308739,11778.73,None,
5.735586,2.826237,11922.79,None,
5.746731,2.826237,11922.79,None,
5.761433,2.826237,11922.79,None,
5.775695,2.826237,11922.79,None,
5.793603,2.826237,11922.79,None,
5.803123,2.826237,11922.79,None,
5.816814,2.826237,11922.79,None,
5.83035,2.354617,11922.79,None,
5.844709,2.354617,11922.79,None,
5.858495,2.354617,11922.79,None,
5.871663,2.354617,11922.79,None,
5.886518,2.354617,11922.79,None,
5.901281,2.354617,11922.79,None,
5.914166,2.354617,11922.79,None,
5.927947,2.002317,11706.96,None,
5.949132,2.002317,11706.96,None,
5.956601,2.002317,11706.96,None,
5.96933,2.002317,11706.96,None,
5.983845,2.002317,11706.96,None,
5.997297,2.002317,11706.96,None,
6.01104,2.002317,11706.96,None,
6.025557,2.002317,11706.96,None,
6.03857,1.746008,12286.07,None,
6.052932,1.746008,12286.07,None,
6.067173,1.746008,12286.07,None,
6.080825,1.746008,12286.07,None,
6.100333,1.746008,12286.07,None,
6.108214,1.746008,12286.07,None,
6.121545,1.746008,12286.07,None,
6.136233,1.456204,12286.07,None,
6.151635,1.456204,12286.07,None,
6.1642,1.456204,12286.07,None,
6.178165,1.456204,12286.07,None,
6.191958,1.456204,12286.07,None,
6.20564,1.456204,12286.07,None,
6.219822,1.456204,12286.07,None,
6.234386,1.456204,12286.07,None,
6.251773,1.247822,12579.93,None,
6.261406,1.247822,12579.93,None,
6.275695,1.247822,12579.93,None,
6.289356,1.247822,12579.93,None,
6.304153,1.247822,12579.93,None,
6.319617,1.247822,12579.93,None,
6.332216,1.247822,12579.93,None,
6.344265,1.175139,12432.63,None,
6.361679,1.175139,12432.63,None,
6.372842,1.175139,12432.63,None,
6.385723,1.175139,12432.63,None,
6.404721,1.175139,12432.63,None,
6.414155,1.175139,12432.63,None,
6.427517,1.175139,12432.63,None,
6.44159,1.082138,12653.84,None,
6.45534,1.082138,12653.84,None,
6.476918,1.082138,12653.84,None,
6.485845,1.082138,12653.84,None,
6.496635,1.082138,12653.84,None,
6.510819,1.082138,12653.84,None,
