time,speed_sensor,flex_sensor,action_time,record_time
0.0150547,0.362779,11563.95,None,
0.0308197,0.362779,11563.95,None,
0.0427719,0.374303,11635.37,None,
0.0564814,0.374303,11635.37,None,
0.0708558,0.374303,11635.37,None,
0.08960129,0.374303,11635.37,None,
0.09936299,0.374303,11635.37,None,
0.111613,0.374303,11635.37,None,
0.1258961,0.374303,11635.37,None,
0.1406625,0.374303,11635.37,None,
0.1528351,0.319213,11635.37,None,
0.1668045,0.319213,11635.37,None,
0.1815799,0.319213,11635.37,None,
0.1945751,0.319213,11635.37,None,
0.2090653,0.319213,11635.37,None,
0.2225814,0.319213,11635.37,None,
0.2415265,0.319213,11635.37,None,
0.2507964,0.288885,11850.67,Inhale,
0.2652358,0.288885,11850.67,None,
0.2781435,0.288885,11850.67,None,
0.2913771,0.288885,11850.67,None,
0.3072596,0.288885,11850.67,None,
0.3192393,0.288885,11850.67,None,
0.3328071,0.288885,11850.67,None,
0.3476434,0.269679,11635.37,None,
0.3611376,0.269679,11635.37,None,
0.3748413,0.269679,11635.37,None,
0.3958252,0.269679,11635.37,None,
0.404909,0.269679,11635.37,None,
0.4161893,0.269679,11635.37,None,
0.4300455,0.269679,11635.37,None,
0.4435643,0.269679,11635.37,None,
0.4572101,0.233738,11421.63,None,
0.4718682,0.233738,11421.63,None,
0.48568,0.233738,11421.63,None,
0.4993027,0.233738,11421.63,None,
0.5150979,0.233738,11421.63,None,
0.5277066,0.233738,11421.63,None,
0.5464831,0.233738,11421.63,None,
0.5556816,0.233738,11706.96,None,
0.5687051,0.233738,11706.96,None,
0.583397,0.233738,11706.96,None,
0.5970153,0.233738,11706.96,None,
0.6109084,0.233738,11706.96,None,
0.6242679,0.233738,11706.96,None,
0.6387557,0.233738,11706.96,None,
0.6522103,0.233738,11706.96,None,
0.6667205,0.260328,11706.96,None,
0.6814689,0.260328,11706.96,None,
0.6987978,0.260328,11706.96,None,
0.707898,0.260328,11706.96,None,
0.7235789,0.260328,11706.96,None,
0.7353889,0.260328,11706.96,None,
0.7496985,0.260328,11706.96,None,
0.7641803,0.251302,11778.73,None,
0.7777058,0.251302,11778.73,None,
0.7913968,0.251302,11778.73,None,
0.8057462,0.251302,11778.73,None,
0.8194702,0.251302,11778.73,None,
0.8342539,0.251302,11778.73,None,
0.8536686,0.251302,11778.73,None,
0.8621325,0.208832,11635.37,None,
0.8744428,0.208832,11635.37,None,
0.889102,0.208832,11635.37,None,
0.9023778,0.208832,11635.37,None,Yes
0.9162759,0.208832,11635.37,None,
0.9321679,0.208832,11635.37,None,
0.9440346,0.208832,11635.37,None,
0.9578639,0.208832,11635.37,None,
0.9718983,0.233738,11922.79,None,
0.9858925,0.233738,11922.79,None,
1.005118,0.233738,11922.79,None,
1.013805,0.233738,11922.79,None,
1.028922,0.233738,11922.79,None,
1.053939,0.233738,11922.79,None,
1.070918,0.233738,11850.67,None,
1.084782,0.233738,11850.67,None,
1.098048,0.233738,11850.67,None,
1.111139,0.233738,11850.67,None,
1.124731,0.233738,11850.67,None,
1.141405,0.233738,11850.67,None,
1.158218,0.233738,11850.67,None,
1.166662,0.233738,11850.67,None,
1.180918,0.233738,11922.79,None,
1.194009,0.233738,11922.79,None,
1.20967,0.233738,11922.79,None,
1.222896,0.233738,11922.79,None,
1.235869,0.233738,11922.79,None,
1.249382,0.233738,11922.79,None,
1.263298,0.233738,11922.79,None,
1.277169,0.251302,11995.09,None,
1.290829,0.251302,11995.09,None,
1.305123,0.251302,11995.09,None,
1.323775,0.251302,11995.09,None,
1.332255,0.251302,11995.09,None,
1.348182,0.251302,11995.09,None,
1.359619,0.251302,11995.09,None,
1.373731,0.233738,12213.05,None,
1.387911,0.233738,12213.05,None,
1.402045,0.233738,12213.05,None,
1.415938,0.233738,12213.05,None,
1.430255,0.233738,12213.05,None,
1.443513,0.233738,12213.05,None,
1.457197,0.233738,12213.05,None,
1.476676,0.233738,12213.05,None,
1.485033,0.233738,12140.22,None,
1.498565,0.233738,12140.22,None,
1.512648,0.233738,12140.22,None,
1.52721,0.233738,12140.22,None,
1.540847,0.233738,12140.22,None,
1.556735,0.233738,12140.22,None,
1.568412,0.233738,12140.22,None,
1.583207,0.225332,12140.22,None,
1.59613,0.225332,12140.22,None,
1.609268,0.225332,12140.22,None,
1.629111,0.225332,12140.22,None,
1.638056,0.225332,12140.22,None,
1.651295,0.225332,12140.22,None,
1.665402,0.225332,12140.22,None,
1.679629,0.225332,12140.22,None,
1.693793,0.20099,12140.22,None,
1.707169,0.20099,12140.22,None,
1.721415,0.20099,12140.22,None,
1.73434,0.20099,12140.22,None,
1.749042,0.20099,12140.22,None,
1.764578,0.20099,12140.22,None,
1.780877,0.20099,12140.22,None,
1.790482,0.20099,12213.05,None,
1.804837,0.20099,12213.05,None,
1.818205,0.20099,12213.05,None,
1.832068,0.20099,12213.05,None,
1.847062,0.20099,12213.05,None,
1.859645,0.20099,12213.05,None,
1.873723,0.20099,12213.05,None,
1.888099,0.193355,12286.07,None,
1.901355,0.193355,12286.07,None,
1.915398,0.193355,12286.07,None,
1.935403,0.193355,12286.07,None,
1.943984,0.193355,12286.07,None,
1.957631,0.193355,12286.07,None,
1.973476,0.193355,12286.07,None,
1.985312,0.193355,12286.07,None,
1.999333,0.193355,12286.07,None,
2.013705,0.193355,12286.07,None,
2.027942,0.193355,12286.07,None,
2.040483,0.193355,12286.07,None,
2.053938,0.193355,12286.07,None,
2.067866,0.193355,12286.07,None,
2.0878,0.193355,12286.07,None,
2.096407,0.178512,12432.63,None,
2.109185,0.178512,12432.63,None,
2.123675,0.178512,12432.63,None,
2.137578,0.178512,12432.63,None,
2.151215,0.178512,12432.63,None,
2.165495,0.178512,12432.63,None,
2.181284,0.178512,12432.63,None,
2.193754,0.178512,12432.63,None,
2.207904,0.157575,12140.22,None,
2.221832,0.157575,12140.22,None,
2.240274,0.157575,12140.22,None,
2.249042,0.157575,12140.22,None,
2.262923,0.157575,12140.22,None,
2.276527,0.157575,12140.22,None,
2.290564,0.157575,12140.22,None,
2.304956,0.144561,12359.26,None,
2.318604,0.144561,12359.26,None,
2.332071,0.144561,12359.26,None,
2.346366,0.144561,12359.26,None,
2.359815,0.144561,12359.26,None,
2.37377,0.144561,12359.26,None,
2.395254,0.144561,12359.26,None,
2.403553,0.151037,12213.05,None,
2.415311,0.151037,12213.05,None,
2.42944,0.151037,12213.05,None,
2.442477,0.151037,12213.05,None,
2.456694,0.151037,12213.05,None,
2.47117,0.151037,12213.05,None,
2.484885,0.151037,12213.05,None,
2.498904,0.151037,12213.05,None,
2.513157,0.13225,12213.05,None,
2.526673,0.13225,12213.05,None,
2.54563,0.13225,12213.05,None,
2.554427,0.13225,12213.05,None,
2.569084,0.13225,12213.05,None,
2.582474,0.13225,12213.05,None,
2.597975,0.13225,12213.05,None,
2.609637,0.138374,11995.09,None,
2.623723,0.138374,11995.09,None,
