time,speed_sensor,flex_sensor,action_time,record_time
0.0142619,1.017309,11209.44,None,
0.030008,1.017309,11209.44,None,
0.0427172,0.952834,11068.84,None,
0.0559978,0.952834,11068.84,None,
0.0750072,0.952834,11068.84,None,
0.0833719,0.952834,11068.84,None,
0.0972455,0.952834,11068.84,None,
0.1112942,0.952834,11068.84,None,
0.1263884,0.952834,11068.84,None,
0.1404154,0.952834,11068.84,None,
0.1519357,0.852396,11139.06,None,
0.1666866,0.852396,11139.06,None,
0.1808122,0.852396,11139.06,None,
0.1939243,0.852396,11139.06,None,
0.2080534,0.852396,11139.06,None,
0.2266231,0.852396,11139.06,None,
0.2394146,0.814018,11139.06,None,
0.253914,0.814018,11139.06,None,
0.2679996,0.814018,11139.06,None,
0.2826458,0.814018,11139.06,None,
0.2957067,0.814018,11139.06,None,
0.3096004,0.814018,11139.06,None,
0.3240011,0.814018,11139.06,None,
0.3393609,0.814018,11139.06,None,
0.3523766,0.776752,11068.84,None,
0.3718297,0.776752,11068.84,None,
0.379507,0.776752,11068.84,None,
0.3931467,0.776752,11068.84,None,
0.4063361,0.776752,11068.84,None,
0.42005,0.776752,11068.84,None,
0.4341315,0.776752,11068.84,None,
0.4487525,0.722519,11139.06,None,
0.4616985,0.722519,11139.06,None,
0.4760121,0.722519,11139.06,None,
0.4908441,0.722519,11139.06,None,
0.5031095,0.722519,11139.06,None,
0.5235988,0.722519,11139.06,None,
0.531422,0.722519,11139.06,None,
0.5464169,0.687987,11209.44,None,
0.5595653,0.687987,11209.44,None,
0.5738848,0.687987,11209.44,None,
0.5865278,0.687987,11209.44,None,
0.6012315,0.687987,11209.44,None,
0.615312,0.687987,11209.44,None,
0.6285219,0.687987,11209.44,None,
0.6424229,0.687987,11209.44,None,
0.6570751,0.606629,11068.84,None,
0.6755498,0.606629,11068.84,None,
0.6842931,0.606629,11068.84,None,
0.6984891,0.606629,11068.84,None,
0.71229,0.606629,11068.84,None,
0.7261379,0.606629,11068.84,None,
0.7400842,0.606629,11068.84,None,
0.7555852,0.590717,10998.79,None,
0.7677308,0.590717,10998.79,None,
0.7817342,0.590717,10998.79,None,
0.7951904,0.590717,10998.79,None,
0.8098218,0.590717,10998.79,None,
0.8287559,0.590717,10998.79,None,
0.8369098,0.590717,10998.79,None,
0.85136,0.590717,10998.79,None,
0.8649831,0.560355,11209.44,None,
0.8783802,0.560355,11209.44,None,
0.8928925,0.560355,11209.44,None,
0.9065821,0.560355,11209.44,None,
0.9201529,0.560355,11209.44,None,
0.934433,0.560355,11209.44,None,
0.9489805,0.560355,11209.44,None,
0.971185,0.531001,11280,None,
0.9952653,0.531001,11280,None,
1.002773,0.531001,11280,None,
1.017822,0.531001,11280,None,
1.031925,0.531001,11280,None,
1.047856,0.531001,11280,None,
1.05898,0.531001,11280,None,Yes
1.072808,0.502639,10928.92,None,
1.085702,0.502639,10928.92,None,
1.100635,0.502639,10928.92,None,
1.114648,0.502639,10928.92,None,
1.127953,0.502639,10928.92,None,
1.147905,0.502639,10928.92,None,
1.1562,0.502639,10928.92,None,
