time,speed_sensor,flex_sensor,action_time,record_time
0.0158262,1.515549,11350.73,None,
0.0314336,1.515549,11350.73,None,
0.0430358,1.515549,11350.73,None,
0.057122,1.515549,11350.73,None,
0.0710148,1.515549,11350.73,None,
0.084374,1.515549,11350.73,None,
0.1038677,1.515549,11350.73,None,
0.1125913,1.380249,11139.06,None,
0.127881,1.380249,11139.06,None,
0.1396092,1.380249,11139.06,None,
0.1534104,1.380249,11139.06,None,
0.1671402,1.380249,11139.06,None,
0.181426,1.380249,11139.06,None,
0.1952295,1.380249,11139.06,None,
0.210654,1.301678,11280,None,
0.2233489,1.301678,11280,None,
0.2371661,1.301678,11280,None,
0.2557738,1.301678,11280,None,
0.2646923,1.301678,11280,None,
0.2784101,1.301678,11280,None,
0.2919865,1.301678,11280,None,
0.306305,1.177662,11280,None,
0.3202552,1.177662,11280,None,
0.3340158,1.177662,11280,None,
0.3486173,1.177662,11280,None,
0.3618265,1.177662,11280,None,
0.3754056,1.177662,11280,None,
0.3925473,1.177662,11280,None,
0.4043715,1.10798,11280,None,
0.4170915,1.10798,11280,None,
0.4321947,1.10798,11280,None,
0.4445924,1.10798,11280,None,
0.4586911,1.10798,11280,None,
0.4721588,1.10798,11280,None,
0.485911,1.10798,11280,None,
0.5016633,1.039777,11350.73,None,
0.5142238,1.039777,11350.73,None,
0.5282515,1.039777,11350.73,None,
0.5486315,1.039777,11350.73,None,
0.5570415,1.039777,11350.73,None,
0.5694924,1.039777,11350.73,None,
0.5829561,1.039777,11350.73,None,
0.5967479,1.039777,11350.73,None,
0.6119015,0.996208,11209.44,None,
0.6247681,0.996208,11209.44,None,
0.638505,0.996208,11209.44,None,
0.6526215,0.996208,11209.44,None,
0.6664364,0.996208,11209.44,None,
0.6803094,0.996208,11209.44,None,
0.6993399,0.996208,11209.44,None,
0.7083176,0.873608,11209.44,None,
0.7225813,0.873608,11209.44,None,
0.7360356,0.873608,11209.44,None,
0.7496325,0.873608,11209.44,None,
0.7634532,0.873608,11209.44,None,
0.7775341,0.873608,11209.44,None,
0.7918434,0.873608,11209.44,None,
0.805173,0.833539,11209.44,None,
0.8213201,0.833539,11209.44,None,
0.8339273,0.833539,11209.44,None,
0.8521751,0.833539,11209.44,None,
0.8609052,0.833539,11209.44,None,
0.8754067,0.833539,11209.44,None,
0.8885196,0.833539,11209.44,None,
0.9026596,0.833539,11209.44,None,
0.9242876,0.795705,11139.06,None,
0.9315817,0.795705,11139.06,None,
0.9440283,0.795705,11139.06,None,
0.957832,0.795705,11139.06,None,
0.9713899,0.795705,11139.06,None,
0.986001,0.795705,11139.06,None,Yes
1.005495,0.795705,11139.06,None,
1.016329,0.872492,11068.84,None,
1.027435,0.872492,11068.84,None,
1.042735,0.872492,11068.84,None,
1.054896,0.872492,11068.84,None,
1.06907,0.872492,11068.84,None,
1.083106,0.872492,11068.84,None,
1.096736,0.872492,11068.84,None,
1.110523,0.872492,11068.84,None,
1.124834,0.795705,11209.44,None,
1.139107,0.795705,11209.44,None,
1.158491,0.795705,11209.44,None,
1.167093,0.795705,11209.44,None,
1.179636,0.795705,11209.44,None,
1.19401,0.795705,11209.44,None,
1.208131,0.795705,11209.44,None,
1.223421,0.723342,11068.84,None,
1.235838,0.723342,11068.84,None,
1.249984,0.723342,11068.84,None,
1.264176,0.723342,11068.84,None,
1.277913,0.723342,11068.84,None,
1.291804,0.723342,11068.84,None,
1.310191,0.723342,11068.84,None,
1.319254,0.655291,11209.44,None,
1.334164,0.655291,11209.44,None,
1.347058,0.655291,11209.44,None,
1.361004,0.655291,11209.44,None,
1.375142,0.655291,11209.44,None,
1.389146,0.655291,11209.44,None,
1.403893,0.655291,11209.44,None,
1.417184,0.655291,11209.44,None,
1.432031,0.622847,11421.63,None,
1.443829,0.622847,11421.63,None,
1.463136,0.622847,11421.63,None,
1.471462,0.622847,11421.63,None,
1.485399,0.622847,11421.63,None,
1.500298,0.622847,11421.63,None,
1.513689,0.622847,11421.63,None,
1.5274,0.59144,11350.73,None,
1.541814,0.59144,11350.73,None,
1.55555,0.59144,11350.73,None,
1.569314,0.59144,11350.73,None,
1.583382,0.59144,11350.73,None,
1.597286,0.59144,11350.73,None,
1.61589,0.59144,11350.73,None,
1.624802,0.561055,11350.73,None,
1.640794,0.561055,11350.73,None,
1.652899,0.561055,11350.73,None,
1.666927,0.561055,11350.73,None,
1.680485,0.561055,11350.73,None,
1.694231,0.561055,11350.73,None,
1.708257,0.561055,11350.73,None,
1.721942,0.561055,11350.73,None,
1.73616,0.54588,11778.73,Inhale,
1.749962,0.54588,11778.73,None,
1.768494,0.54588,11778.73,None,
1.777602,0.54588,11778.73,None,
1.792017,0.54588,11778.73,None,
1.805333,0.54588,11778.73,None,
1.819774,0.54588,11778.73,None,
1.833938,0.531677,11492.7,None,
1.848425,0.531677,11492.7,None,
1.860897,0.531677,11492.7,None,
1.875554,0.531677,11492.7,None,
1.888598,0.531677,11492.7,None,
1.902754,0.531677,11492.7,None,
1.921659,0.531677,11492.7,None,
1.930226,0.531677,11492.7,None,
1.944184,0.489131,11778.73,None,
1.958806,0.489131,11778.73,None,
1.971962,0.489131,11778.73,None,
1.985807,0.489131,11778.73,None,
2.000235,0.489131,11778.73,None,
2.013457,0.489131,11778.73,None,
2.027249,0.489131,11778.73,None,
2.042253,0.462222,11706.96,None,
2.057226,0.462222,11706.96,None,
2.075367,0.462222,11706.96,None,
2.083207,0.462222,11706.96,None,
2.097257,0.462222,11706.96,None,
2.111001,0.462222,11706.96,None,
2.124948,0.462222,11706.96,None,
2.138436,0.436269,11635.37,None,
2.152404,0.436269,11635.37,None,
2.167067,0.436269,11635.37,None,
2.180799,0.436269,11635.37,None,
2.194308,0.436269,11635.37,None,
2.208491,0.436269,11635.37,None,
2.226912,0.436269,11635.37,None,
2.236102,0.436269,11635.37,None,
2.24984,0.411258,11850.67,None,
2.265055,0.411258,11850.67,None,
2.277251,0.411258,11850.67,None,
2.291502,0.411258,11850.67,None,
2.304754,0.411258,11850.67,None,
2.319634,0.411258,11850.67,None,
2.333916,0.411258,11850.67,None,
2.347171,0.411258,11778.73,None,
2.360695,0.411258,11778.73,None,
2.380006,0.411258,11778.73,None,
2.388592,0.411258,11778.73,None,
2.402129,0.411258,11778.73,None,
2.416698,0.411258,11778.73,None,
